,CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,SOIL_PH,CROP_DURATION,WATERSOURCE,TEMP,WATER_REQUIRED,RELATIVE_HUMIDITY
93,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,8.0,150,"irrigated,rainfall",22.53,2486,62.74
56,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,7.4,150,"irrigated,rainfall",33.77,1472,77.03
218,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.4,107,"irrigated,rainfall",21.87,597,66.11
1036,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.3,88,rainfed,20.0,666,15.2
1293,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",29.92,955,65.48
1952,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.8,87,"irrigated,rainfall",21.56,458,94.33
1449,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,7.0,120,"irrigated,rainfall",29.92,658,60.0
2359,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,7.4,316,irrigated,23.59,2237,75.6
1465,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.8,98,"irrigated,rainfall",28.22,983,60.0
298,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",26.89,505,79.97
2177,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.2,136,"irrigated,rainfall",28.6,1108,76.02
178,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,82,"irrigated,rainfall",21.74,616,56.87
1187,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
1472,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.7,96,"irrigated,rainfall",29.35,997,60.0
188,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.5,81,"irrigated,rainfall",21.36,622,57.64
572,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.1,102,"irrigated,rainfall",26.61,1152,19.78
433,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,81,"irrigated,rainfall",44.18,465,94.78
518,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.4,101,"irrigated,rainfall",25.2,1136,18.54
2346,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1537,79.76
2271,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,140,"irrigated,rainfall",37.96,1299,89.73
1084,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.3,88,rainfed,20.0,746,15.22
1288,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",33.49,998,67.15
1123,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,73,"irrigated,rainfall",21.03,811,17.91
1341,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.1,84,"irrigated,rainfall",25.34,471,52.87
2256,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.5,136,"irrigated,rainfall",33.69,1175,71.91
1490,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.8,96,"irrigated,rainfall",28.28,990,60.0
43,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,5.5,150,"irrigated,rainfall",38.77,2459,62.97
1878,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
450,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,6.8,79,"irrigated,rainfall",34.91,421,87.17
2045,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.1,144,"irrigated,rainfall",24.84,500,87.51
44,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,8.0,150,"irrigated,rainfall",21.05,2495,60.41
1283,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.8,100,"irrigated,rainfall",29.26,978,67.0
1967,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",24.42,350,81.54
2090,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,8.4,160,"irrigated,rainfall",22.26,500,93.82
254,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.2,108,"irrigated,rainfall",22.75,528,71.39
1945,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.5,88,"irrigated,rainfall",22.65,428,91.53
1874,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
1862,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.6,149,"irrigated,rainfall",17.02,666,65.0
564,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,6.6,118,"irrigated,rainfall",26.3,1187,19.95
212,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.9,105,"irrigated,rainfall",26.95,505,84.9
866,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",28.94,500,19.87
742,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.6,99,"irrigated,rainfall",38.46,495,19.4
1251,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",30.06,956,65.41
1047,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.5,88,rainfed,20.0,815,15.75
1736,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.49,462,89.76
1017,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.3,85,rainfed,20.0,743,17.57
170,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,7.0,90,"irrigated,rainfall",23.97,650,50.14
2096,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.2,144,"irrigated,rainfall",25.0,500,86.16
2487,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.0,180,irrigated,23.66,601,79.23
2217,jute,fibre crop,Sandy and Clay Loam,kharif,Jun-Jul,Sep-Oct,7.4,134,"irrigated,rainfall",32.53,1193,72.97
1797,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.29,466,89.72
544,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,6.2,107,"irrigated,rainfall",21.53,1048,18.31
1221,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,7.3,100,"irrigated,rainfall",34.48,995,60.37
463,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
988,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,26.29,603,18.0
1321,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.5,72,"irrigated,rainfall",23.0,401,53.02
602,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",44.38,350,19.95
1336,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,71,"irrigated,rainfall",20.08,400,54.88
2339,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,301,irrigated,26.89,1540,79.7
1260,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",30.1,968,66.16
2114,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.0,136,"irrigated,rainfall",28.45,1276,71.12
807,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.7,85,"irrigated,rainfall",28.47,812,17.85
886,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,705,17.48
1582,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
1614,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.9,129,rainfed,25.05,885,79.99
1837,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",33.66,695,65.0
1873,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,kharif,Jun-Jul,Sep-Oct,6.5,141,"irrigated,rainfall",44.38,700,65.0
282,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.34,569,69.44
210,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
111,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.6,81,"irrigated,rainfall",21.3,640,57.23
1920,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",24.09,350,82.32
2165,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.0,135,"irrigated,rainfall",22.37,1296,80.12
457,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
819,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",28.94,500,19.87
2184,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.1,136,"irrigated,rainfall",29.4,1154,72.47
1655,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,6.7,121,rainfed,18.08,1395,80.94
252,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.4,107,"irrigated,rainfall",22.28,581,69.01
251,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.57,572,68.17
1539,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,6.7,100,rainfed,26.12,800,57.33
2129,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.3,136,"irrigated,rainfall",28.17,1038,74.86
1926,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.9,85,"irrigated,rainfall",23.66,454,95.96
1018,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.6,86,rainfed,20.0,894,15.45
422,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.4,76,"irrigated,rainfall",42.89,459,81.96
1175,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
620,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.7,75,"irrigated,rainfall",40.9,336,19.43
173,wheat,cereals,Well Drained,rabi,Oct-Dec,Apr-Jun,6.6,81,"irrigated,rainfall",21.31,622,58.05
486,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,83,"irrigated,rainfall",44.01,472,94.4
1985,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.5,88,"irrigated,rainfall",22.77,427,92.1
1080,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.9,94,rainfed,20.0,899,19.78
1117,blackgram,pulses,sandy soils to heavy cotton soils,rabi,Oct-Dec,Apr-Jun,6.5,70,"irrigated,rainfall",41.58,987,18.0
1357,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.4,75,"irrigated,rainfall",24.06,506,51.89
1041,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.6,89,rainfed,20.0,881,15.09
1090,kudiraivali,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,6.8,82,rainfed,20.0,898,15.63
1355,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,61,"irrigated,rainfall",20.08,678,54.88
211,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
613,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.9,75,"irrigated,rainfall",44.12,333,19.93
2149,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.3,136,"irrigated,rainfall",28.86,1048,74.27
464,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,85,"irrigated,rainfall",44.19,494,94.9
1467,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.5,95,"irrigated,rainfall",29.83,1000,60.0
554,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.1,102,"irrigated,rainfall",26.3,1138,19.63
907,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.7,120,rainfed,26.78,652,17.28
993,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,6.5,120,rainfed,25.25,541,15.23
1968,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.8,85,"irrigated,rainfall",24.1,440,93.83
1788,soyabean,pulses,"Well-drained, Loamy Soil",kharif,Jun-Jul,Sep-Oct,7.0,90,"irrigated,rainfall",30.27,464,89.74
1598,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
96,rice,cereals,Alluvia or loamy and clayey soil,kharif,Jun-Jul,Sep-Oct,8.0,150,"irrigated,rainfall",27.83,1022,79.84
1964,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.7,86,"irrigated,rainfall",23.61,437,92.88
1364,cowpea,pulses, well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,5.0,90,"irrigated,rainfall",20.19,401,54.88
1924,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.5,95,"irrigated,rainfall",24.98,350,81.51
611,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,6.8,74,"irrigated,rainfall",24.2,344,17.21
445,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,6.8,79,"irrigated,rainfall",34.91,421,87.51
237,maize,millets,temperate podzols to the leached red soils of the tropics. ,kharif,Jun-Jul,Sep-Oct,6.3,107,"irrigated,rainfall",22.47,606,68.52
2310,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.0,302,irrigated,26.86,2342,75.92
873,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,705,17.48
2497,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,6.0,180,irrigated,21.81,601,71.3
2054,castor,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,6.7,151,"irrigated,rainfall",25.13,500,82.14
1673,redgram,pulses,deep loam soils,rabi,Oct-Dec,Apr-Jun,7.0,125,rainfed,19.64,629,80.94
2122,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",kharif,Jun-Jul,Sep-Oct,7.0,135,"irrigated,rainfall",24.73,1296,71.83
839,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,705,17.48
581,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,5.6,105,"irrigated,rainfall",24.3,1072,18.86
1281,greengram,pulses,well-drained sandy loams or sandy soils ,rabi,Oct-Dec,Apr-Jun,6.9,100,"irrigated,rainfall",28.95,966,66.46
979,varagu,millets,clay-based soil,kharif,Jun-Jul,Sep-Oct,5.8,120,rainfed,26.59,642,17.6
790,samai,millets,Loamy Soil,kharif,Jun-Jul,Sep-Oct,8.8,93,"irrigated,rainfall",33.53,604,16.2
841,thinai,millets,"alluvial,loamy ",kharif,Jun-Jul,Sep-Oct,6.3,86,"irrigated,rainfall",27.35,717,16.91
482,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.2,78,"irrigated,rainfall",42.14,412,90.92
1910,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",kharif,Jun-Jul,Sep-Oct,7.3,90,"irrigated,rainfall",22.16,420,91.08
621,panivaragu,millets,sandy loam to clays of black cotton soils,kharif,Jun-Jul,Sep-Oct,7.0,75,"irrigated,rainfall",41.02,338,19.95
1502,horsegram,pulses, light to heavy soils ,rabi,Oct-Dec,Apr-Jun,7.4,105,rainfed,25.26,800,50.57
332,sorghum,millets,well-drained loamy soils,kharif,Jun-Jul,Sep-Oct,7.0,105,"irrigated,rainfall",39.22,612,90.21
478,Pearl millet,millets,"clay, clay loam, or sandy loam soils",kharif,Jun-Jul,Sep-Oct,7.5,77,"irrigated,rainfall",44.13,402,94.01
1494,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,5.6,102,"irrigated,rainfall",28.95,993,60.0
507,ragi,millets,"red, black, sandy, loamy and shallow black soils.",kharif,Jun-Jul,Sep-Oct,6.1,101,"irrigated,rainfall",22.45,1126,17.78
1450,bengalgram,pulses,medium to heavy black soil,rabi,Oct-Dec,Apr-Jun,6.1,102,"irrigated,rainfall",28.24,945,60.0
2423,sugarbeet,sugar crops,Well drained sandy loam and clayey loam soils ,kharif,Jun-Jul,Sep-Oct,7.2,170,irrigated,17.54,701,68.73
